,Client,Date,Headline,Source,VADER Score,neg,neu,pos
0,NAB,2020-04-30,"Commonwealth Bank home loan, NAB credit card repayment cut sparked by coronavirus may hit borrowers ", ABC News,0.128,0.119,0.734,0.147
1,NAB,2020-04-30,NAB's latest coronavirus hardship measure threatens to hurt customers more than it helps them , Business Insider Australia,-0.6637,0.392,0.473,0.135
2,NAB,2020-04-30,NAB: Coronavirus impact could see house prices drop 30% , Savings.com.au,-0.2732,0.208,0.792,0.0
3,NAB,2020-04-30,Commonwealth Bank home loan repayment cut sparked by coronavirus may hit borrowers , ABC News,-0.2732,0.16,0.84,0.0
4,NAB,2020-04-03,NAB expands coronavirus support to credit card and personal loan customers , Mozo.com.au,0.6908,0.0,0.544,0.456
5,NAB,2020-04-29,"ANZ sets aside $1b for coronavirus recession losses, defers dividend ", ABC News,-0.6705,0.407,0.593,0.0
6,NAB,2020-04-20,NAB flags $1.14bn triple hit to H1 result , The West Australian,0.0,0.0,1.0,0.0
7,NAB,2020-04-17,NAB's McEwan vows fight to save jobs in bank restructure , Sydney Morning Herald,0.1531,0.188,0.58,0.232
8,NAB,2020-04-07,NAB ramps up temporary branch closures , Sydney Morning Herald,0.0,0.0,1.0,0.0
9,NAB,2020-04-30,"Huge coronavirus lift in online gambling, Netflix: NAB ", The Australian,0.3182,0.0,0.753,0.247
10,NAB,2020-04-14,"A huge hit to the business sector from coronavirus, NAB anticipates ", Property Observer,0.3182,0.0,0.796,0.204
11,NAB,2020-04-28,Banks' loan losses could top $35b , The Australian Financial Review,-0.2263,0.318,0.471,0.212
12,NAB,2020-04-02,"Consumer anxiety on the rise as coronavirus impacts economy, NAB survey shows ", Domain News,-0.1779,0.134,0.866,0.0
13,NAB,2020-04-29,"Good, good, good Coronavirus stimulation ", Switzer Financial News,0.8271,0.0,0.187,0.813
14,NAB,2020-04-20,Coronavirus credit card cuts: Which banks have slashed rates? , Mozo.com.au,-0.128,0.323,0.472,0.205
15,NAB,2020-04-27,"Women, over 65s struggling with financial stress due to coronavirus, says NAB ", Savings.com.au,-0.6808,0.359,0.641,0.0
16,NAB,2020-04-30,"ANZ hopes for the best, prepares for the worst ", WAtoday,0.4404,0.24,0.351,0.409
17,NAB,2020-04-24,"NAB Campaign Targets Coronavirus Aid, Federal Ads for Local Stations ", Radio World,0.0,0.0,1.0,0.0
18,NAB,2020-04-28,Indian cops use giant 'tongs' to nab people breaking coronavirus lockdown , New York Post ,0.0,0.0,1.0,0.0
19,NAB,2020-04-14,"ASX lifts, while collapse in business confidence points to 'unprecedented' recession: NAB report ", ABC News,-0.4019,0.311,0.518,0.171
20,NAB,2020-04-28,Westpac raising fears abate as it vows to 'absorb' $2.2b hit , Sydney Morning Herald,-0.4215,0.219,0.781,0.0
21,NAB,2020-04-29,"Markets Live, Wednesday 29 April, 2020 ", The Sydney Morning Herald,0.0,0.0,1.0,0.0
