,Client,Date,Headline,Source,VADER Score,neg,neu,pos
0,NAB,2020-04-17,NAB's McEwan vows fight to save jobs in bank restructure , Sydney Morning Herald,0.1531,0.188,0.58,0.232
1,NAB,2020-03-24,NAB worker sacked over false coronavirus test , The New Daily,0.0,0.0,1.0,0.0
2,NAB,2020-04-14,"A huge hit to the business sector from coronavirus, NAB anticipates ", Property Observer,0.3182,0.0,0.796,0.204
3,NAB,2020-04-03,NAB expands coronavirus support to credit card and personal loan customers , Mozo.com.au,0.6908,0.0,0.544,0.456
4,NAB,2020-04-14,"ASX lifts, while collapse in business confidence points to 'unprecedented' recession: NAB report ", ABC News,-0.4019,0.311,0.518,0.171
5,NAB,2020-03-23,"Coronavirus ASX: Coles, BHP Up, CBA, Westpac, NAB, Afterpay Fall ", Canstar,0.0,0.0,1.0,0.0
6,NAB,2020-03-20,"The big four banks are letting borrowers hit pause on their payments, but this is no mortgage holiday ", ABC News,0.1901,0.125,0.716,0.159
7,NAB,2020-03-20,Coronavirus crisis sees Banking Association announce six-month loan repayment deferrals for small businesses , ABC News,-0.6249,0.255,0.745,0.0
8,NAB,2020-04-02,"Consumer anxiety on the rise as coronavirus impacts economy, NAB survey shows ", Domain News,-0.1779,0.134,0.866,0.0
9,NAB,2020-03-20,Coronavirus: NAB allows homeowners to defer repayments for 6 months , NEWS.com.au,-0.296,0.216,0.784,0.0
10,NAB,2020-03-26,Are banks freezing mortgages? Here are the banks putting payments on hold amid coronavirus , ABC News,-0.1027,0.097,0.903,0.0
11,NAB,2020-03-19,Big four banks set to announce coronavirus package , 7NEWS.com.au,0.0,0.0,1.0,0.0
12,NAB,2020-03-23,NAB's Anthony Healy quits after leading virus response team , The Australian Financial Review,0.0,0.0,1.0,0.0
13,NAB,2020-03-31,NAB to offer emergency business loans , Australian Broker,-0.3818,0.342,0.658,0.0
14,NAB,2020-03-25,Projects cut at NAB to focus on customer needs during coronavirus crisis , The Australian,-0.7351,0.383,0.617,0.0
15,NAB,2020-03-24,NAB says Australia ‘can cope’ as coronavirus panic buying spikes food consumption , The Australian,-0.5106,0.231,0.769,0.0
16,NAB,2020-04-18,Shehbaz skips NAB hearing due to coronavirus , Daily Times,0.0,0.0,1.0,0.0
17,NAB,2020-03-23,NAB Cancels 2020 Show Because of Coronavirus After Initially Postponing Event , Commercial Integrator,-0.34,0.274,0.726,0.0
18,NAB,2020-04-07,Fitch Downgrades NAB to 'A+' on Coronavirus Risks; Outlook Negative , Fitch Ratings,-0.7003,0.42,0.58,0.0
19,NAB,2020-03-24,Big bank coronavirus support: How to defer your mortgage repayments , Mozo.com.au,0.128,0.171,0.62,0.209
20,NAB,2020-03-26,Coronavirus pushes up contactless payment limit to contain virus spread , 7NEWS.com.au,0.0,0.0,1.0,0.0
21,NAB,2020-03-24,RUSH HOUR: NAB worker sacked after faking having coronavirus , NEWS.com.au,-0.4215,0.259,0.741,0.0
22,NAB,2020-03-30,AFL secures financial help from banks as impact of coronavirus pandemic hits home , ABC News,0.6124,0.0,0.688,0.312
23,NAB,2020-04-07,NAB ramps up temporary branch closures , Sydney Morning Herald,0.0,0.0,1.0,0.0
24,NAB,2020-03-20,NAB: Unprecedented Backing for Coronavirus PSAs , Broadcasting & Cable,0.0258,0.0,0.82,0.18
25,NAB,2020-03-24,"Australia has plenty of food, but some shortages pose risks, says NAB ", The Weekly Times,-0.5499,0.313,0.687,0.0
26,NAB,2020-03-25,NAB backs COVID-19 SME guarantee , The Australian Financial Review,0.2023,0.194,0.484,0.323
27,NAB,2020-03-24,"NAB, Westpac and Commonwealth bank to close bank branches due to coronavirus ", Daily Mail,0.0,0.0,1.0,0.0
28,NAB,2020-03-27,Coronavirus crisis job losses will raise mortgage stress more than the GFC did: analysts , ABC News,-0.8625,0.466,0.534,0.0
29,NAB,2020-03-31,"Coronavirus: NAB’s wealth arm, MLC, waives adviser licence fees for three months ", The Australian,0.4939,0.0,0.775,0.225
30,NAB,2020-03-24,Coronavirus cases in Victoria rise to more than 400 as Minister warns 'thousands' could die , ABC News,-0.6486,0.29,0.71,0.0
31,NAB,2020-04-02,"Banks drag Australian market lower, IMF warns wartime measures are needed due to coronavirus fallout ", ABC News,-0.5423,0.314,0.686,0.0
32,NAB,2020-03-24,How Australian banks are responding to coronavirus - Business Insider , Business Insider Nordic,0.0,0.0,1.0,0.0
33,NAB,2020-04-03,It’s lonely at the top for NAB boss Ross McEwan as nation locks down , The Australian,-0.1779,0.153,0.736,0.11
34,NAB,2020-04-15,NAB business confidence reading falls to a record low of minus 66 following coronavirus shutdowns , Daily Mail,0.296,0.121,0.69,0.19
35,NAB,2020-03-23,Banks are bleeding as they take a bullet for the economy , Sydney Morning Herald,0.0,0.0,1.0,0.0
36,NAB,2020-03-20,How a universal basic income could help 25 million workers at threat from coronavirus , ABC News,-0.1779,0.199,0.643,0.158
37,NAB,2020-03-20,NAB Show 2020 Won't Be Rescheduled , Broadcasting & Cable,0.0,0.0,1.0,0.0
38,NAB,2020-03-28,Will the economic crisis caused by coronavirus reshape our idea of a depression? , ABC News,-0.8316,0.438,0.562,0.0
39,NAB,2020-04-15,Freezing public servant wages in response to coronavirus is just a sop , The Guardian,-0.1027,0.123,0.877,0.0
40,NAB,2020-03-21,THE NEW ABNORMAL: Day 57 of the coronavirus crisis , 7NEWS.com.au,-0.6249,0.339,0.661,0.0
41,NAB,2020-03-28,NAB offers SMEs new $250000 low-rate loans , Mirage News,0.0,0.0,1.0,0.0
42,NAB,2020-04-01,NAB CEO says the bank is doing 'enough at this point in time' , 3AW,0.0,0.0,1.0,0.0
43,NAB,2020-03-20,NAB Pauses Home Loans Amidst Coronavirus Global Pandemic , NovaFM,0.0,0.0,1.0,0.0
44,NAB,2020-04-07,The Aussies suffering the most from isolation anxiety , Daily Telegraph,-0.793,0.617,0.383,0.0
45,NAB,2020-04-03,Coronavirus: What you need to know about credit in a pandemic , The New Daily,0.3818,0.0,0.776,0.224
46,NAB,2020-03-26,Victorian Chief Health Officer pushes for tougher coronavirus shutdown as state records first COVID-19 deaths , ABC News,0.1779,0.0,0.892,0.108
47,NAB,2020-03-30,ASX 200 surges in 'stereotypical bear market' amid rising coronavirus infections , ABC News,0.0,0.0,1.0,0.0
48,NAB,2020-04-14,Coronavirus support: What the Big Four banks are offering households and businesses , The New Daily,0.4019,0.0,0.803,0.197
49,NAB,2020-03-23,Coronavirus: Bank shares battered amid bad debt fears , The Australian,-0.765,0.587,0.267,0.147
50,NAB,2020-04-17,ATVA Says Congress Should Reject NAB's Relief Proposal , TV Technology,0.1027,0.229,0.508,0.263
51,NAB,2020-03-20,"Coronavirus live updates: Prime Minister Scott Morrison announces the Federal Budget will be delayed until October, new social distancing measures ", ABC News,-0.2263,0.091,0.909,0.0
52,NAB,2020-04-14,IMF predicts virus-driven collapse as business confidence plunges to lowest level in history , The New Daily,-0.3612,0.304,0.524,0.173
